Beam_Length_mm,Beam_Width_mm,Beam_Height_mm,Concrete_Grade_MPa,Longitudinal_Reinforcement_Ratio_percent,Stirrup_Spacing_mm,Stirrup_Diameter_mm,Steel_Yield_Strength_MPa,Concrete_Compressive_Strength_MPa,Bearing_Capacity_kN
3705.508115348672,232.23689555545937,517.2885388837127,25,1.7616762804266817,150,10,450,25,3259.078866477407
2779.8550883290536,263.72762643021304,452.5759304681655,35,1.743760046656036,150,10,500,35,3827.961540561119
3838.838497734967,336.1757770825301,467.6752498727654,35,2.3956352397681666,200,8,550,35,5121.325004693804
3844.13694988524,211.54575040713112,547.6284018834119,35,1.4443836299751762,100,12,550,35,3470.9907107210383
2977.005212457796,304.4234217706888,463.48970826196495,25,1.8175126235859107,150,12,550,25,3589.8954403088896
3140.6616829393843,298.9266152961156,563.5998783314201,35,1.726319598639686,200,10,550,35,4701.051760500079
3727.02214888374,319.43621758120526,537.2497543512393,35,2.2474600602539963,150,10,550,35,5218.684332304302
3126.1165047231684,340.86027191754374,580.1891127636834,30,2.292660759684032,100,8,550,30,5271.441034736893
2833.1617157060955,295.4561422300061,495.3972094624388,25,1.261418017752041,200,10,500,25,3104.281646452696
2679.798051000524,248.6767700263013,483.3700521861957,40,1.9328229458355903,150,8,500,40,4359.077299242351
3006.422757105442,240.4267793438409,499.0983999231154,35,1.037456350651197,100,8,500,35,3135.166022319189
2984.8043980311327,304.1961438340592,551.7767550798782,40,2.4789404531730246,200,12,550,40,5846.691565857256
3278.1859326150493,232.8073419496891,480.8215623250625,30,1.1510404016557048,100,12,500,30,2826.172585137371
3957.673124081441,299.2953417190803,484.2147866256546,30,2.357632185082396,150,12,450,30,4494.794931892671
3943.670942413167,322.2409592810809,584.1425545177098,25,2.304010161861033,200,8,450,25,4664.9769144977
3245.872758838578,314.1276996396173,567.3852922148046,35,1.1217816805756469,100,10,550,35,4251.49611707233
2951.3174647251544,228.15836085383785,541.0238966447198,40,1.940707591091676,150,8,500,40,4395.607978289979
3254.0185348432924,264.8519339605021,532.12348346186,30,1.2000988527662342,150,8,550,30,3329.232908862753
3862.39882894998,205.0514605811696,475.4247915016062,35,2.2863815136436023,200,10,550,35,3969.2798076751897
2859.342836000458,331.87786589018714,531.3670421125407,40,1.0878863315652032,100,12,550,40,4615.185505781621
3234.1791404163446,283.6005754359512,451.5916013193654,40,2.497840372727603,150,8,500,40,5089.611996755255
3978.475681165901,205.84689809916955,471.26822728567385,35,1.649614153880189,150,10,450,35,3354.4569415437604
2863.0829072672504,300.0271086958487,485.2067659928849,40,2.054448495316965,150,8,450,40,4952.2781519914
3508.203321108818,248.4541018631141,554.5901603488041,25,1.2739945732855205,200,10,550,25,3005.072930378992
2856.4563159885997,333.2177283401054,551.9578629566556,40,2.089159102554128,150,8,450,40,5762.553977791268
3592.324522917789,248.79359275426216,523.219606924163,25,1.4717149537997658,200,10,550,25,3084.85930132425
3051.67469907888,335.14413435357017,488.96770354973984,30,2.2433456679638164,200,12,450,30,4700.816102552926
3448.4587458903693,349.4236510248168,524.881967600643,40,1.905126367708425,150,10,550,40,5560.232329936547
3450.2945661413423,323.8123496185922,453.0044347379141,25,1.583684514422545,150,12,500,25,3433.829662614345
2635.4346550816126,237.3513104163635,516.4413100663419,40,1.8651412711538864,100,10,500,40,4342.552364415536
3752.953743383857,286.5053598286635,481.1680766714056,30,1.2483029390407991,100,12,500,30,3326.067159090691
2981.170097457604,210.0883870951052,509.8437001356939,40,1.6040985548004492,200,12,550,40,3760.283322721866
2561.162712332146,349.8338918049936,576.716644334959,40,1.601354083868689,150,8,450,40,5653.492039668487
3386.339414782363,248.99588741388663,496.8424671438942,25,2.141665882727887,100,8,550,25,3681.875062595328
2524.8817433917843,320.99975795402247,462.4509976761072,40,2.4104742298588966,200,12,500,40,5369.884221193323
3268.1395874489217,328.7034906510844,539.0890136859086,40,1.4405146200376544,150,8,450,40,5003.050506888682
2839.743662796907,349.6442446103235,548.5336404330681,25,1.6235553674273937,100,12,450,25,3985.62112595148
3467.759185614175,236.2244727885302,473.6492631909397,25,2.1804352157185622,200,8,550,25,3539.037547649069
2761.5496435074874,206.05262402895497,573.6868927078253,25,1.8190368899811251,200,10,550,25,3301.149335649582
3080.103019450806,219.51210047434205,452.64967430956665,40,1.0800102445077753,200,10,450,40,3086.851673498128
3905.094983105102,203.36388337430827,574.6492276422425,25,1.5978994940776836,150,8,450,25,3039.6697922159656
2706.2814162189898,254.0640240712229,574.0641791178947,40,1.4061005986325987,150,8,500,40,4299.49046852306
3011.599526575388,317.56073766128543,521.4281922061703,30,2.499002684246673,100,10,550,30,4969.057092066909
2670.210281860884,284.9271036837606,564.7451367805551,40,1.4625326059484651,200,12,500,40,4672.900555077986
3816.009030071472,298.15130082390795,566.2487440519441,25,2.0143506025607163,150,10,500,25,4127.121658435355
3332.801217399194,293.5614627296014,454.49212700347175,40,2.325052447046368,200,10,450,40,5006.573132612837
3850.6270857449954,284.50930260689603,493.0709536355003,35,1.8973566397778447,200,8,450,35,4355.790563550889
3449.652185909902,293.69210721717974,460.463427022766,35,2.282230079488282,150,8,500,35,4647.677171223878
3023.8143619189914,288.0404759838361,536.6130322142785,25,2.1100539174762654,150,8,550,25,4089.4458469283218
3588.933518305359,287.1425569832269,573.3774928483294,30,1.94155062040111,200,8,450,30,4432.276849842279
3845.665389928866,348.6018735598649,539.1973057255992,25,1.5634731032395013,200,10,450,25,3923.582173987759
3669.813318786436,266.3440708176703,536.1105419593885,40,2.063985779163951,200,10,450,40,4917.94718234651
3847.831282790619,289.52778153316393,551.9255922610142,25,1.3243493415864869,200,8,550,25,3317.690606869174
3495.2526536620835,279.15161993325427,564.686242132395,35,1.165868780602989,150,10,450,35,3908.91991995752
2507.592375769328,231.7453847854792,508.445821186822,35,2.2575067308900776,150,10,550,35,4299.114899830279
3323.1006840498794,347.16768618019034,488.8239563320453,30,2.0349535182125877,150,8,500,30,4568.009171795363
3537.84279653904,297.4263394561171,481.8949056063376,25,2.457102772912969,100,10,450,25,4270.489733666885
3477.9418892539006,320.662108951621,513.8589946101654,40,1.125521482371546,150,8,450,40,4408.650821040062
3568.268832021304,288.9737328559202,566.1007467985994,35,1.189154043981114,100,10,500,35,4057.7821888899352
2988.099547238902,268.21465138289915,523.5329134940592,40,2.2771580444966717,100,12,450,40,5104.917314145279
3486.419338450515,341.2537979987046,485.8711071457536,40,2.062221001897836,200,12,450,40,5390.331497693514
2640.5121517421385,275.0539169323341,547.5328434315271,35,1.1822667543064993,200,12,500,35,3794.927319229088
2897.8035515225884,304.5703708837714,519.2594537205025,30,1.7219142257674251,150,12,450,30,4083.0810831416056
2865.984465068625,297.2958435153223,550.8030308110233,25,1.6759351376622535,200,12,500,25,3706.3468816003447
3959.515832128668,241.29323201777905,490.4692390603783,35,1.6358496279954973,100,12,450,35,3707.6204523338106
3089.6465870001407,223.4309853029933,535.2208016804964,35,1.763817377869064,100,12,500,35,3853.880377634317
3838.06983276567,295.39104902400663,515.4650780537513,40,2.417575830091905,200,12,500,40,5422.35854184009
3692.2169553124727,226.9034015433861,552.2146347583913,35,2.4297663073947087,150,12,450,35,4629.067354214771
3365.355826939539,268.2757987600485,492.8032294378793,40,2.0862039682489497,150,12,450,40,4718.893459415477
3238.776540728296,300.16408874047295,536.3494347853849,30,2.2183593079131207,100,12,550,30,4601.495247714784
2921.158543661284,202.8717301995255,464.8365025432057,40,1.8472191716292732,150,12,500,40,3731.745565846303
2536.4739496471807,316.86538795936804,554.4908735872884,25,2.291395723868044,200,8,500,25,4504.618943831257
3468.208443860752,291.4546137728924,582.4804407864162,30,2.23246989574675,100,12,450,30,4752.951009715854
2765.6660191105734,304.94593544331826,486.2708532149725,25,1.1834330817708991,200,12,450,25,3053.2540306213004
3910.6878765293714,325.7232462482964,515.3665513309129,30,2.2728814855463173,100,12,550,30,4795.865383087944
3930.892865503881,320.42164022367507,575.8184055597285,30,1.6211029291606638,150,12,450,30,4381.575063272775
2523.184924793301,273.2743448989858,527.2250015628956,35,1.6480371994506124,100,12,500,35,4149.701735695533
3892.477843881588,260.2830799836095,555.936115478075,25,2.212547035265225,100,8,550,25,4040.944071114761
3142.276222475972,223.05365642663068,564.2572570826445,40,1.3951054179337667,150,12,550,40,3907.464022668553
3949.982228565505,285.89108493230333,453.7767942137332,35,1.0058939821333266,100,8,500,35,3276.92086139628
3779.51418320104,338.19612683194634,459.44536932490496,30,1.1503423849643264,200,12,550,30,3480.048497758626
3776.705007275285,253.2386991315515,543.0668892093764,40,1.665468469905218,150,10,500,40,4416.593114651545
2754.2391200291386,204.7615648059483,556.8953043701755,40,1.429988872670879,100,10,550,40,3682.471771749254
3335.201893687525,263.50027162297965,456.9172714560423,30,2.172235364887858,150,8,450,30,3998.262712294508
3904.232161241172,212.68480671458568,499.0159827751488,40,1.2273818678534791,100,12,500,40,3370.7302695243184
3422.5108400487547,298.8568115198349,590.3859307202774,25,2.21653253393834,100,8,550,25,4423.710630989693
3985.0807751563952,231.68477472093969,551.8154123315626,25,1.1634574439558736,200,12,500,25,2773.616400379295
2710.1260228547862,329.4495247038308,464.9081885891151,30,1.3760977390030815,200,12,550,30,3665.809675208864
3816.059607891933,229.4980377429438,583.3637763124631,25,2.0726584204271337,100,8,550,25,3754.732305540119
3553.726125980664,320.39604685293943,490.7910971134887,25,1.6213008314569652,150,8,500,25,3601.34658524305
3039.236726829633,349.5856849855404,585.943530086204,25,1.0668349474264798,150,8,550,25,3611.657475093297
3715.1700920187714,293.3945800397987,584.6119101026019,25,1.709206696169087,100,12,450,25,3844.4864534908143
3267.0135982914067,327.10818958570604,492.5468039499512,40,1.441482616346854,100,10,550,40,4655.977256566273
3252.2744420307995,209.3591102897416,565.4609558237075,40,2.3091944876191643,150,10,550,40,4648.139861451691
3697.4427684501625,250.29185751174435,469.2774544234815,35,2.1954814821384785,150,8,500,35,4257.799561649189
3474.945896166648,210.0524806626815,598.6410641711311,35,1.7724697159725171,200,8,500,35,3967.199586953459
3552.950315886555,346.3014700218606,519.7929248844982,30,1.196102109186775,200,10,500,30,3917.896441297464
3835.0080127263495,327.8821131868956,598.2080329204939,40,1.9843419856132096,150,8,500,40,5912.499361210449
3006.992735277304,340.6947847150841,451.9735591950477,30,1.5775618567606176,200,12,450,30,3907.627514042013
2640.9729097613035,257.839638877,489.4697958944714,35,2.4249325139983062,200,8,450,35,4649.15900510828
3313.966952061365,270.3660816571368,462.3958382300656,25,1.5271625102060251,100,12,550,25,3065.8297507716
2929.811878192427,240.2843251180464,559.2158555566481,25,1.2506501316484508,200,12,450,25,2933.042316490598
3386.2498908535163,215.14671602266412,493.0787964075191,25,1.050089807298786,200,10,450,25,2379.876677027261
2545.750374908574,225.12366336411617,599.8018247358602,40,1.57857506914153,150,12,550,40,4281.662662031816
3654.990329647916,241.7552722493985,548.2100113183818,35,2.178673225590632,200,10,450,35,4486.777980606881
2823.731541245265,319.743979581378,576.439197659112,25,1.4820549336113056,100,12,450,25,3778.6922000636687
3434.3357137285,248.938087706172,593.7717924269203,30,1.056231935304489,200,12,550,30,3255.519398169636
2577.522581752912,234.87589883117468,570.3243864035229,25,1.2094634953143757,100,12,500,25,2884.704278279754
3456.1448522473097,253.29796227108315,567.5062313800414,30,1.0977892032770369,200,8,550,30,3247.1613283012903
3589.1370005839926,301.0991312218596,509.0264086609046,35,1.0748837284950683,150,10,500,35,3780.936574515869
3274.450522451793,231.57604094980144,457.45781437825065,30,1.1070505208340702,200,12,500,30,2682.176519344746
3692.779292153056,222.0382885375656,534.1986421775492,30,1.7283493034251438,200,12,500,30,3499.4899302145045
2906.2483768931115,251.39677197837824,463.354057656067,30,1.5143381370234694,100,12,500,30,3271.418977218
3158.4571310584543,329.69883827872104,597.3199862765962,40,1.6275533651980107,150,12,550,40,5550.565463321627
3943.972622016888,272.6806992620016,470.4750417774944,35,2.0735147201838653,150,12,450,35,4323.06837169284
3753.9701807683086,245.36292669178044,475.78338868707993,30,2.327023566132532,150,8,550,30,4079.57855327618
3113.429416621405,320.57073357252125,532.3100622743921,25,1.5716639890124242,100,10,550,25,3679.311340502433
2759.9414801062685,220.57227322291143,568.6867683722437,25,1.920568272781342,150,12,550,25,3494.375606338367
2734.655564006629,287.1048626831428,584.6798254944657,25,1.935438920945896,100,12,500,25,4072.258881800823
2875.364347246893,275.8263140584796,551.2733441998815,40,1.722549757018511,150,10,450,40,4777.500076608209
3323.839997059181,221.61181790197995,562.6450493266499,25,1.6009867726569298,200,8,500,25,3168.3657929141395
3571.893884050093,293.59977282934733,487.6363251549989,30,2.4792704674130426,200,10,500,30,4596.119856486885
3490.2960650765967,241.04606267911572,556.4720566067036,40,2.2316854391765863,150,10,450,40,4936.116099431425
3331.531078767101,245.96952020642303,466.8468338619813,25,1.1502539893559949,150,10,500,25,2577.632785993341
3129.400093641685,208.54680904960523,590.4028605636117,30,1.6044592001850912,100,8,550,30,3419.9575077071054
3636.7691656965535,308.7509114448678,481.7042915126034,35,1.5387901035837723,150,10,500,35,4133.177900933004
2561.093203478455,329.3304460487283,466.0875624705354,35,2.33454058799134,100,8,500,35,5009.886751387392
3783.190876016511,247.08132450837056,458.312733077257,40,1.9130312918242007,100,8,550,40,4184.6076148939965
3555.4867890700352,280.70340580458543,549.9229655006977,30,2.4254260752557286,200,12,450,30,4732.836266653461
3211.260743630988,326.01621176588,534.8686634710284,30,2.4981250515869755,150,12,450,30,5139.7469770343205
2646.7512409765022,348.41766964475846,456.5795734976753,25,1.5577901729996415,100,12,450,25,3533.069186591876
2759.8028048650226,229.2749775827976,543.4987718235022,40,2.497917140556181,150,8,550,40,4974.976557283535
3423.7751470783246,273.88536061299465,548.886097981662,40,2.172618788222912,200,12,550,40,5222.354483226884
3452.6404763014657,272.47712949705027,469.2865939972624,25,1.5330095623293205,100,10,550,25,3142.9311847088247
3438.7898735713543,328.96920122174686,583.1259882743457,40,2.0321708143915838,100,10,450,40,5878.523420774246
3254.7043878701315,261.02072014275853,564.8757439062244,30,1.0317457209730574,100,12,550,30,3243.983690159489
3784.734761782484,249.23496585175093,527.4462625559931,35,1.5050585033463002,200,12,450,35,3826.9205713320553
3488.040447428418,268.0984866799548,470.5563075843317,25,1.216713544891908,200,8,550,25,2841.015550574394
2744.4016406221444,314.36704380123024,480.0809065478464,40,1.3494583181170587,150,10,550,40,4364.110800780902
2605.853121100645,218.90030417959915,593.8111338209897,30,2.3582342162369887,200,12,450,30,4291.356414166292
3463.6289173094733,229.4628823808026,591.4426109710718,30,1.0553399333661522,200,12,500,30,3117.6004266448845
3378.663371910195,226.3237441072036,552.7761415763296,40,1.4643540283573473,200,10,450,40,3969.379041999061
3082.254889309783,273.4436693075367,519.0232585411442,35,1.3274042242800792,200,8,450,35,3820.054249687493
3464.9323276635296,296.7117872865228,451.2502746468871,30,1.2463616008347316,150,10,550,30,3226.561290075922
3187.379335737275,234.4740088696428,582.8861017766301,25,1.3551970518941785,200,12,450,25,3069.7105238862887
3912.197213164788,255.82598828703456,477.8814102023733,40,1.4067666785668052,100,12,500,40,3856.174942567663
3079.1539567011614,299.2500889443784,579.6303826107803,35,2.4214037524115835,100,12,500,35,5460.196610041086
3941.785845735872,221.1835315059724,576.0284151198763,40,1.6957978321432714,150,8,550,40,4245.883361711312
2604.041951312748,241.79645946725543,504.7803500116741,35,1.4932679323134843,200,10,550,35,3646.331875183964
2527.3327384773247,227.42566698032255,592.0055430114346,35,1.419391555784848,100,12,450,35,3767.086242061423
2641.6644411338925,323.85664273410003,578.687332181915,35,1.85611561259998,100,12,550,35,5116.69050953813
3767.312966454182,285.68907049056463,577.3609160091578,25,1.5022854264984715,100,10,500,25,3581.3437966035217
3721.702723883404,256.1822365069372,454.0712321360887,30,2.390762256603983,150,8,550,30,4158.856205630006
2922.7821621601,319.6598395022321,462.2128414130008,40,2.352080285215986,150,12,550,40,5277.057311060398
2677.2472414324843,255.10860930456056,499.7527610533919,30,1.134817420150957,200,12,450,30,3030.6812744814038
3816.20802029058,326.7681277244052,582.8725967297315,30,1.1599289092081353,150,12,500,30,4023.013308967302
3602.606565705829,319.38895807152534,577.1025268171423,40,1.5183713100230465,100,12,550,40,5218.343282457205
3705.221395577273,226.26847101955295,545.322661851423,40,1.2225780673262163,200,10,550,40,3688.7336831070056
3625.9221274612873,232.73113018282584,506.98968383572696,30,2.495100655441572,100,10,550,30,4281.912330038063
3985.75771300101,237.4503429110345,577.3966737634444,25,1.8985189556719184,150,10,500,25,3633.724408382661
3118.9265153671395,239.48710197770168,508.47236545811046,30,2.284401480286122,100,10,550,30,4108.341095131971
3664.619441112995,330.6003551188277,577.2513972089257,25,2.034346616577948,150,10,500,25,4407.049662747382
3011.205310379527,318.8892219813702,589.4416645440556,25,1.6132654925876024,150,8,550,25,3972.45977065868
3787.6191277645175,312.5398645908264,483.0900587153287,40,1.604130428121163,100,10,450,40,4607.543409720815
2654.685803253899,214.06647893855248,494.5180255031031,35,1.467108467567317,150,10,550,35,3293.962481482051
3853.82936001935,272.9195727822386,589.4948383122227,40,1.181621947362194,150,12,450,40,4417.857837122443
3257.878558671786,338.11094755139527,475.7681500679023,25,2.2969886708348373,100,8,550,25,4310.36676466861
2980.0744015459177,243.71913702406908,505.0003333693521,25,1.8582203166796003,200,12,450,25,3417.8510911500034
3083.8025181012445,235.72199804985445,563.9812973978244,30,1.6157396718120127,100,12,450,30,3630.854309100661
2516.256477220448,336.26518278190633,458.6695370791176,35,1.2887948731572092,150,10,500,35,4009.761683497577
2978.970456385622,314.0863463682923,542.1910451802901,30,1.1558106854182155,200,8,500,30,3725.727230531973
3925.910720406334,273.0898031150076,541.8083485398057,40,1.3132555306779756,200,12,500,40,4259.65385620642
3172.66828296748,349.9336554875658,466.37174310992486,40,1.6740269750943193,200,12,450,40,4896.291938588242
2939.8161575470967,315.41733411230706,585.7989624233627,40,2.062868687597499,200,12,550,40,5737.939913041566
2992.996818054874,259.6798554526141,582.9328561884562,35,1.9351476901650413,100,10,450,35,4605.073041951056
3684.427214191831,230.66725586964097,477.4962698283743,40,1.4834999677007104,100,12,550,40,3674.201014314041
2636.809154573036,251.06173341713892,465.1456376736666,35,1.6569966218433312,150,12,500,35,3675.70938767772
3241.6304570538723,276.587113618934,575.1900406126831,30,1.461193259550289,100,12,450,30,3867.879780731701
2586.3381400249664,292.26937108118,582.5013444477681,25,2.477406803456295,100,10,500,25,4628.848697706062
3162.2957520600658,276.4781014325687,472.93448575474736,30,1.2469820323840444,200,10,500,30,3177.6304065789373
3831.5562741374497,275.1913466938594,574.0590622865333,30,1.0083912338228045,200,8,450,30,3415.036043088376
3026.372518828118,207.53645147344733,551.6769519362654,30,1.0641749023709015,200,10,500,30,2817.8918141662625
3642.265947576208,265.72679198725166,455.4435604840315,40,1.8000071723388582,100,10,450,40,4222.2997851896935
3551.45369718868,267.35581518951886,510.8424312674401,40,1.5989488840386787,100,12,450,40,4318.75767488135
2622.0231709628497,216.7389499935871,550.4784882090316,25,2.364577467861664,100,12,550,25,3824.102099094817
2627.256571127788,291.2479250011657,562.8722954116366,40,1.7638678757543127,100,10,500,40,5049.688074437169
3979.9593677517632,242.15746252503337,470.76656129832566,25,2.0414121196537947,100,12,500,25,3445.143271748967
3061.4061936341805,226.0244075532533,454.0176676021715,25,1.1677005568509058,150,12,550,25,2425.334342012884
3055.963220600336,256.9627284378976,594.4634233754455,25,1.8479334399309733,200,10,450,25,3799.299754380479
2625.2510750480037,235.5399987359973,577.7085567474385,30,1.0153507846131362,100,10,550,30,3071.853216388039
3665.720373891155,301.6089694833309,503.8369601571436,35,1.0332393033167824,100,8,550,35,3679.874794450224
3337.6063746037075,284.86723322614944,452.9866371530659,25,1.0125246062706543,100,10,550,25,2604.771771610894
3136.3330138704646,339.37170758175307,583.6026986428037,25,1.1655325848368132,150,8,450,25,3636.4720348641736
3238.9376564362888,202.87332283268796,491.4721512754397,40,2.480194891269845,150,8,550,40,4500.259661358505
2517.0304671511285,324.02878414591294,503.8881557982948,40,1.4590091578134148,100,12,550,40,4689.746332378607
2584.454913522756,316.2866077752424,450.759689476783,25,1.818343816251637,150,10,450,25,3602.9847347117934
2678.226874402108,235.1638400017272,512.2884912077182,35,2.2869361830962625,200,12,500,35,4419.567853810958
2676.289370165657,251.76256182698503,524.5176366008504,40,2.0170905651815128,200,10,550,40,4638.9831730106325
3473.815453174095,204.51558083169783,509.5349756290673,30,1.4441231337031757,200,8,500,30,3021.3573364923263
